Age,AnnualIncomeUSD,City,CompanySize,CompanyType,CurrentWorkplaceExperience,Domain,Education,EnglishLevel,IsStudyingCurrently,JobTitle,MonthlySalaryUAH,ProgrammingLanguage,ResponseDate,Sex,Specialization,TotalWorkExperience,University,UserAgent
23,30000,Dnipro,1001+ employees,Outsourcing,0.5,Web Development,Higher,Upper-Intermediate,False,Software Engineer,70000,Java,11/06/2018 10:08:59,male,,3.0,Other,"Mozilla/5.0 (Linux; Android 6.0.1; PRO 6 Plus Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36"
30,18000,Cherkasy,51-200 employees,Outsourcing,4.0,Web Development,Higher,Upper-Intermediate,False,Software Engineer,42000,JavaScript,11/06/2018 10:09:01,male,,3.0,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
35,40200,Kyiv,1001+ employees,Outsourcing,5.0,"Banking and Finance,Corporate Systems",Higher,Upper-Intermediate,False,Senior Software Engineer,93800,C#/.NET,11/06/2018 10:09:31,male,,10.0,KhNEU,Mozilla/5.0 (Android 8.0.0; Mobile; rv:60.0) Gecko/60.0 Firefox/60.0
26,30000,Kyiv,1001+ employees,Outsourcing,4.0,Web Development,Two higher,Upper-Intermediate,False,Senior Software Engineer,70000,JavaScript,11/06/2018 10:09:36,male,,4.0,KPI,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/604.1.34 (KHTML, like Gecko) CriOS/67.0.3396.69 Mobile/15F79 Safari/604.1"
20,12000,Kyiv,11-50 employees,Outsourcing,1.0,"Web Development,eCommerce",Unfinished higher,Upper-Intermediate,True,Junior Software Engineer,28000,Python,11/06/2018 10:09:45,male,,1.0,KPI,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
29,31800,Lutsk,11-50 employees,Outstaffing,3.0,Web Development,Higher,Intermediate,False,Senior Software Engineer,74200,PHP,11/06/2018 10:09:48,male,,5.0,Other,Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0
18,19800,Remote,1-10 employees,Startup,1.0,"Android,Web Development",Unfinished higher,Intermediate,True,Software Engineer,46200,JavaScript,11/06/2018 10:09:50,male,,1.0,Lviv Polytechnic,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G950F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/66.0.3359.158 Mobile Safari/537.36"
22,19200,Kharkiv,201-1000 employees,Outstaffing,0.25,"Android,Multimedia",Higher,Intermediate,False,Software Engineer,44800,Java,11/06/2018 10:10:18,male,,3.0,KhNURE,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
21,3600,Kharkiv,1-10 employees,Outsourcing,1.0,Web Development,Higher,Pre-Intermediate,True,Junior Software Engineer,8400,JavaScript,11/06/2018 10:10:55,male,,1.0,KhPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
33,57000,Kyiv,11-50 employees,Product,1.5,Web Development,Higher,Upper-Intermediate,False,Senior Software Engineer,133000,C#/.NET,11/06/2018 10:11:05,male,,10.0,KPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
26,32400,Kharkiv,51-200 employees,Outsourcing,0.5,Web Development,Higher,Intermediate,False,Software Engineer,75600,JavaScript,11/06/2018 10:11:13,male,,4.0,KhPI,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.62 Safari/537.36"
22,18000,Kyiv,51-200 employees,Product,0.25,Web Development,Higher,Intermediate,False,Software Engineer,42000,Python,11/06/2018 10:11:23,male,,2.0,KPI,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
41,12000,Kyiv,51-200 employees,Outsourcing,1.5,Banking and Finance,Higher,Intermediate,False,Software Engineer,28000,Perl,11/06/2018 10:11:49,male,,1.5,Other,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
22,14400,Khmelnytskyi,11-50 employees,Outsourcing,1.5,Web Development,Higher,Intermediate,True,Software Engineer,33600,PHP,11/06/2018 10:12:02,male,,1.5,KhNU (Khmelnytskyi),"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/66.0.3359.181 Chrome/66.0.3359.181 Safari/537.36"
24,39600,Kyiv,11-50 employees,Product,0.0,Web Development,Vocational,Pre-Intermediate,True,Software Engineer,92400,JavaScript,11/06/2018 10:12:06,male,,5.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
25,15600,Kyiv,201-1000 employees,Product,1.0,Web Development,Higher,Intermediate,False,Software Engineer,36400,JavaScript,11/06/2018 10:12:09,male,,3.0,KNU,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
20,24000,Kharkiv,11-50 employees,Outsourcing,1.0,Banking and Finance,Unfinished higher,Intermediate,True,Software Engineer,56000,C#/.NET,11/06/2018 10:12:14,male,,1.5,KhNURE,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
22,19200,Kyiv,51-200 employees,Product,1.0,"Web Development,eCommerce",Unfinished higher,Intermediate,True,Software Engineer,44800,Python,11/06/2018 10:12:22,male,,4.0,KNU,Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0
35,45600,Odesa,201-1000 employees,Outsourcing,4.0,Corporate Systems,Unfinished higher,Upper-Intermediate,False,Senior Software Engineer,106400,SQL,11/06/2018 10:12:32,male,,10.0,ONPU,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0
25,15600,Cherkasy,11-50 employees,Product,1.5,Android,Higher,Intermediate,False,Software Engineer,36400,Java,11/06/2018 10:12:38,male,,3.0,Other,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/63.0.3239.84 Chrome/63.0.3239.84 Safari/537.36"
26,7200,Other,11-50 employees,Product,4.0,Desktop Applications,Higher,Pre-Intermediate,False,Software Engineer,16800,C++,11/06/2018 10:13:18,female,,4.0,SumSU,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
26,25200,Odesa,11-50 employees,Product,0.0,Web Development,Unfinished higher,Intermediate,False,Software Engineer,58800,PHP,11/06/2018 10:13:23,male,,2.0,KhNEU,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.62 Safari/537.36"
34,16800,Kharkiv,11-50 employees,Outsourcing,0.5,Web Development,Unfinished higher,Intermediate,False,Software Engineer,39200,JavaScript,11/06/2018 10:14:15,male,,6.0,Other,"Mozilla/5.0 (Linux; Android 8.0.0; F5122 Build/34.4.A.2.70) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 YaBrowser/18.4.1.529.00 Mobile Safari/537.36"
23,12000,Kyiv,11-50 employees,Other,0.5,Android,Higher,Pre-Intermediate,False,Software Engineer,28000,Other,11/06/2018 10:14:16,male,,1.5,KPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
30,4200,Kharkiv,11-50 employees,Outsourcing,0.0,"Android,iOS",Higher,Upper-Intermediate,False,Junior Software Engineer,9800,JavaScript,11/06/2018 10:14:50,male,,0.25,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
31,50400,Odesa,201-1000 employees,Outsourcing,6.0,Multimedia,Higher,Upper-Intermediate,False,Senior Software Engineer,117600,C++,11/06/2018 10:15:08,male,,9.0,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
26,54000,Kyiv,1001+ employees,Outsourcing,0.0,Other,Higher,Upper-Intermediate,False,Senior Software Engineer,126000,Scala,11/06/2018 10:15:22,male,,5.0,Lviv Polytechnic,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
33,22800,Kyiv,11-50 employees,Outsourcing,0.0,"Web Development,Corporate Systems",Higher,Pre-Intermediate,False,Junior Software Engineer,53200,JavaScript,11/06/2018 10:15:32,male,,0.5,NUOS,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0
35,42000,Kyiv,201-1000 employees,Outsourcing,4.0,"Android,Gamedev",Higher,Upper-Intermediate,False,Senior Software Engineer,98000,JavaScript,11/06/2018 10:15:36,male,,10.0,KPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
21,3840,Lviv,11-50 employees,Outstaffing,0.25,Web Development,Unfinished higher,Intermediate,True,Junior Software Engineer,8960,JavaScript,11/06/2018 10:15:48,male,,0.25,Lviv Polytechnic,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
26,55200,Kyiv,11-50 employees,Product,0.0,"Web Development,Other",Higher,Upper-Intermediate,False,Senior Software Engineer,128800,JavaScript,11/06/2018 10:15:51,male,,4.0,Other,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15F79 [FBAN/FBIOS;FBAV/175.0.0.47.102;FBBV/112197024;FBDV/iPhone9,4;FBMD/iPhone;FBSN/iOS;FBSV/11.4;FBSS/3;FBCR/Kyivstar;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]"
33,38400,Lviv,1001+ employees,Outsourcing,7.0,"Desktop Applications,Multimedia",Higher,Intermediate,False,Senior Software Engineer,89600,C++,11/06/2018 10:15:53,male,,10.0,ZSTU,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
25,24000,Kharkiv,1001+ employees,Outstaffing,4.0,Corporate Systems,Higher,Intermediate,False,Software Engineer,56000,Java,11/06/2018 10:15:54,male,,5.0,KhNURE,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 YaBrowser/18.4.1.872 Yowser/2.5 Safari/537.36"
32,68400,Remote,1-10 employees,Startup,1.5,Corporate Systems,Higher,Advanced,False,Senior Software Engineer,159600,JavaScript,11/06/2018 10:15:59,male,,9.0,DNU,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
24,30000,Kyiv,51-200 employees,Product,1.5,Web Development,Higher,Intermediate,False,Software Engineer,70000,PHP,11/06/2018 10:16:14,male,,3.0,DonNTU,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
29,43800,Lviv,1001+ employees,Outsourcing,1.5,"Web Development,eCommerce",Higher,Upper-Intermediate,False,Senior Software Engineer,102200,Java,11/06/2018 10:16:32,male,,7.0,LNU,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/66.0.3359.181 Chrome/66.0.3359.181 Safari/537.36"
28,36000,Kyiv,201-1000 employees,Product,1.5,Gamedev,Higher,Upper-Intermediate,False,Software Engineer,84000,C++,11/06/2018 10:17:33,male,,5.0,NAU,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
26,32400,Lviv,51-200 employees,Outstaffing,1.5,"Web Development,Banking and Finance",Two higher,Advanced,False,Software Engineer,75600,C#/.NET,11/06/2018 10:17:34,male,,4.0,NAU,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
27,36000,Kyiv,1-10 employees,Startup,2.0,"Web Development,Corporate Systems",Unfinished higher,Advanced,False,Senior Software Engineer,84000,JavaScript,11/06/2018 10:17:50,male,,8.0,NaUKMA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
21,15600,Kyiv,51-200 employees,Outsourcing,1.5,"Web Development,Corporate Systems",Higher,Advanced,True,Junior Software Engineer,36400,Java,11/06/2018 10:17:58,male,,1.5,NAU,"Mozilla/5.0 (Linux; Android 8.0.0; MI 6 Build/OPR1.170623.027; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/67.0.3396.81 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/175.0.0.40.97;]"
28,96000,Remote,11-50 employees,Startup,1.5,Web Development,Higher,Advanced,False,Senior Software Engineer,224000,Scala,11/06/2018 10:18:08,male,,4.0,KPI,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
21,42000,Kyiv,1-10 employees,Product,1.0,Android,Higher,Advanced,False,Senior Software Engineer,98000,Java,11/06/2018 10:18:22,male,,3.0,NAU,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
21,7800,Lviv,11-50 employees,Product,1.0,Android,Unfinished higher,Intermediate,True,Junior Software Engineer,18200,Kotlin,11/06/2018 10:18:29,male,,1.5,Lviv Polytechnic,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0
23,36000,Kyiv,51-200 employees,Outsourcing,1.5,Web Development,Higher,Advanced,False,Software Engineer,84000,JavaScript,11/06/2018 10:18:42,male,,3.0,KPI,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.62 Safari/537.36"
32,9600,Dnipro,1001+ employees,Outsourcing,1.0,"Web Development,Corporate Systems",Higher,Intermediate,False,Junior Software Engineer,22400,Python,11/06/2018 10:19:20,male,,2.0,NMU,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
30,43200,Remote,1-10 employees,Product,1.5,Web Development,Higher,Advanced,False,Senior Software Engineer,100800,Ruby/Rails,11/06/2018 10:19:58,male,,10.0,DonNU,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 3X Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/67.0.3396.81 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/175.0.0.40.97;]"
33,30000,Lviv,51-200 employees,Outsourcing,2.0,"Web Development,Other",Higher,Upper-Intermediate,False,Software Engineer,70000,Python,11/06/2018 10:20:16,male,,4.0,Other,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
27,19200,Remote,1-10 employees,Product,1.5,Web Development,Higher,Upper-Intermediate,False,Software Engineer,44800,JavaScript,11/06/2018 10:20:24,male,,3.0,Other,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
24,30000,Lviv,1001+ employees,Outsourcing,0.5,iOS,Higher,Intermediate,False,Software Engineer,70000,Swift,11/06/2018 10:20:30,male,,4.0,Lviv Polytechnic,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1 Safari/605.1.15"
25,4800,Kyiv,1-10 employees,Product,0.0,"Web Development,Other",Unfinished higher,Intermediate,False,Junior Software Engineer,11200,Python,11/06/2018 10:20:37,male,,0.0,KNU,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
21,6000,Kharkiv,1-10 employees,Product,0.5,Web Development,Unfinished higher,Pre-Intermediate,True,Junior Software Engineer,14000,PHP,11/06/2018 10:21:00,male,,1.0,KhPI,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
30,39600,Kyiv,201-1000 employees,Outsourcing,1.5,eCommerce,Higher,Upper-Intermediate,False,Software Engineer,92400,Java,11/06/2018 10:21:01,male,,6.0,KPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
21,6600,Kyiv,1-10 employees,Product,1.0,Web Development,Unfinished higher,Intermediate,True,Junior Software Engineer,15400,Python,11/06/2018 10:21:27,male,,1.0,NAU,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0
22,11112,Kyiv,11-50 employees,Product,1.0,Web Development,Unfinished higher,Elementary,True,Software Engineer,25928,C#/.NET,11/06/2018 10:21:46,male,,2.0,KPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
24,18000,Kyiv,11-50 employees,Outsourcing,0.0,Web Development,Higher,Upper-Intermediate,False,Software Engineer,42000,Python,11/06/2018 10:22:53,male,,1.0,KPI,"Mozilla/5.0 (Linux; Android 5.1.1; Redmi 3 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.81 Mobile Safari/537.36"
45,27600,Lviv,1001+ employees,Outstaffing,10.0,Other,Postgraduate,Advanced,False,Senior Software Engineer,64400,Java,11/06/2018 10:23:00,female,,10.0,LNU,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
23,18000,Vinnytsia,1001+ employees,Outsourcing,0.5,Corporate Systems,Higher,Intermediate,False,Software Engineer,42000,C#/.NET,11/06/2018 10:24:15,male,,3.0,VNTU,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
